word	lemma	method
ве	ве	lem
бир	бир	lem
халкъ	халкъ	lem
эди	эди	lem
бу	бу	lem
агъыз	агъыз	lem
де	де	lem
да	да	lem
ичюн	ичюн	lem
дей	дей	lem
о	о	lem
олгъан	олгъан	lem
не	не	lem
ким	ким	lem
фольклор	фольклор	lem
в	в	lem
боюнджа	боюнджа	lem
экен	экен	lem
у	у	lem
сонъ	сонъ	lem
эр	эр	lem
эткен	эткен	lem
яратыджылыгъы	яратыджылыгъы	lem
л	л	lem
деп	деп	lem
чокъ	чокъ	lem
шу	шу	lem
г	г	lem
озь	озь	lem
ve	ve	lem
келе	келе	lem
эки	эки	lem
яраткъан	яраткъан	lem
исе	исе	lem
оларакъ	оларакъ	lem
бутюн	бутюн	lem
къуш	къуш	lem
мен	мен	lem
д	д	lem
оны	оны	lem
нешир	нешир	lem
рахманир	рахманир	lem
рахим	рахим	lem
qapını	qapını	lem
онынъ	онынъ	lem
акс	акс	lem
бар	бар	lem
ола	ола	lem
берген	берген	lem
вакъыт	вакъыт	lem
буюк	буюк	lem
даа	даа	lem
олып	олып	lem
башкъа	башкъа	lem
хан	хан	lem
оларнынъ	оларнынъ	lem
ханнынъ	ханнынъ	lem
я	я	lem
пек	пек	lem
е	е	lem
з	з	lem
bir	bir	lem
с	с	lem
та	та	lem
и	и	lem
эвель	эвель	lem
атта	атта	lem
ёкъ	ёкъ	lem
а	а	lem
керек	керек	lem
эдилер	эдилер	lem
кельмекте	кельмекте	lem
ки	ки	lem
сыра	сыра	lem
бпр	бпр	lem
алып	алып	lem
киби	киби	lem
по	по	lem
урф	урф	lem
бей	бей	lem
этип	этип	lem
те	те	lem
эсерлер	эсерлер	lem
басылгъан	басылгъан	lem
олсун	олсун	lem
пе	пе	lem
ни	ни	lem
ч	ч	lem
манъа	манъа	lem
шей	шей	lem
къыръштатар	къыръштатар	lem
дестаны	дестаны	lem
canavar	canavar	lem
п	п	lem
къадар	къадар	lem
догъру	догъру	lem
сопъ	сопъ	lem
йыл	йыл	lem
онъа	онъа	lem
этер	этер	lem
ярдым	ярдым	lem
ерге	ерге	lem
ана	ана	lem
й	й	lem
bu	bu	lem
pek	pek	lem
к	к	lem
эдим	эдим	lem
янъы	янъы	lem
кете	кете	lem
биринджи	биринджи	lem
шукюр	шукюр	lem
меним	меним	lem
олар	олар	lem
ya	ya	lem
фольк	фольк	lem
кп	кп	lem
кене	кене	lem
амма	амма	lem
къапыны	къапыны	lem
nasıl	nasıl	lem
айта	айта	lem
люди	люди	lem
халкъиынъ	халкъиынъ	lem
ри	ри	lem
рус	рус	lem
къушу	къушу	lem
т	т	lem
арасында	арасында	lem
сычан	сычан	lem
эсасында	эсасында	lem
кърымтатар	кърымтатар	lem
doğru	doğru	lem
кельген	кельген	lem
ерде	ерде	lem
омюр	омюр	lem
насыл	насыл	lem
яратыджылыкъ	яратыджылыкъ	lem
эте	эте	lem
дерслик	дерслик	lem
олса	олса	lem
йымырта	йымырта	lem
озюне	озюне	lem
пчюн	пчюн	lem
белли	белли	lem
юксек	юксек	lem
ерине	ерине	lem
догърулыкъ	догърулыкъ	lem
